303668,how+to+train+your+dragon+2+2014,4
315680,the+gallant+hours+1960,4
65458,monty+python+and+the+holy+grail+1975,5
120136,a+woman+is+a+woman+1961,4
172919,by+the+pricking+of+my+thumbs+2005,4
79774,kingsman+the+secret+service+2015,4
114195,alex+in+wonderland+1970,3
279204,factotum+2005,3
108963,schizopolis+1996,3
59235,thunderbirds+are+go+1966,4
241450,dhobi+ghat+2011,4
186590,home+among+strangers_+a+stranger+among+his+own+1974,5
246711,othello+1981,4
112321,the+firemens+ball+1967,3
189759,walkabout+1971,4
194113,the+loving+story+2011,4
261146,frozen+2013,4
235078,to+live+and+die+in+l.a.+1985,3
157099,gone+girl+2014,3
340881,the+plough+and+the+stars+1936,4
250229,alien+1979,4
157715,botched+2007,3
256132,on+the+beach+1959,4
221013,high+society+1956,4
20165,stonehearst+asylum+2014,5
152537,ice+princess+2005,4
153583,the+grand+seduction+2014,3
223559,one+hundred+mornings+2009,3
17427,in+their+sleep+2010,3
181870,and+now+for+something+completely+different+1971,4
296878,inception+2010,5
150004,big+boys+gone+bananas*+2011,4
171806,l.a.+zombie+2010,4
201244,island+of+fire+1990,3
113156,imagine+john+lennon+1988,4
171303,double+indemnity+1973,3
217848,to+sleep+with+anger+1990,4
310322,of+time+and+the+city+2008,3
127943,the+underground+comedy+movie+1999,4
98715,the+cameraman+1928,3
103969,cold+comfort+farm+1995,3
320476,the+wild+bunch+1969,3
85965,my+bodyguard+1980,3
174968,arc+2006,3
277736,tour+de+force+2014,3
209106,nothings+all+bad+2010,3
88528,inglourious+basterds+2009,4
195261,taxi+driver+1976,5
133681,guardians+of+the+galaxy+2014,4
11532,burn+2012,4
91176,friday+night+2002,4
252141,les+formidables+2006,3
176865,the+good_+the+bad+and+the+ugly+1966,3
139312,national+security+2003,3
110149,willy+wonka++the+chocolate+factory+1971,3
311750,september+2013,2
311343,but+im+a+cheerleader+1999,5
67024,tracers+2015,3
22470,offender+2012,5
137256,toy+story+1995,4
43776,dial+m+for+murder+1954,4
310629,port+of+shadows+1938,3
346859,coach+carter+2005,3
285670,the+emperors+naked+army+marches+on+1987,3
92669,cloudy+with+a+chance+of+meatballs+2+2013,3
116011,valmont+1989,4
315828,schwestern+2014,3
106949,the+cutting+edge+going+for+the+gold+2006,3
229651,buffalo+girls+2012,3
188979,futuresport+1998,4
105476,demonic+2015,3
55215,the+young+lieutenant+2005,4
333607,being+elmo+a+puppeteers+journey+2011,4
175005,stories+we+tell+2012,4
14967,warning+shadows+1923,5
277349,letter+from+an+unknown+woman+1948,4
183403,the+rose+seller+1998,2
31192,cinderella+1950,4
270641,coal+miners+daughter+1980,4
218691,the+vixen+1969,3
313481,the+expert+1995,4
336347,the+student+1988,4
224800,kit+kittredge+an+american+girl+2008,3
111579,forbidden+city+cop+1996,4
224355,declaration+of+war+2011,2
273496,the+matrix+1999,4
62446,goodfellas+1990,4
69919,alice+in+wonderland+2010,4
51229,harry+potter+and+the+chamber+of+secrets+2002,4
173085,psychomania+1973,3
44369,on+the+outs+2004,4
132079,the+terminator+1984,4
304141,stuart+little+1999,3
249250,se7en+1995,4
104816,princess+mononoke+1997,4
248997,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,4
9731,vice+2015,3
159022,the+first+day+of+the+rest+of+your+life+2008,3
123475,night+and+day+1946,3
143607,miss+and+the+doctors+2013,3
131063,the+way+way+back+2013,4
176665,seven+swords+2005,4
152376,the+boat+1921,4
130453,life+is+a+long+quiet+river+1988,4
139708,spellbound+1945,4
226743,harry+potter+and+the+prisoner+of+azkaban+2004,4
62650,carbon+nation+2011,3
140895,whoopee+1930,3
253885,fantastic+planet+1973,4
116191,42+2013,3
121095,le+havre+2011,5
345598,sixteen+candles+1984,5
294323,dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,4
44593,valerie+and+her+week+of+wonders+1970,4
244770,the+secret+glory+2001,4
278671,dead+man+1995,3
75537,dave+1993,4
111559,snow+white+and+the+seven+dwarfs+1937,4
181560,song+of+the+thin+man+1947,5
289189,ruby+in+paradise+1993,3
101378,crank+2006,3
168873,angelique+1964,3
9641,locke+2014,3
117337,the+day+the+earth+stood+still+1951,4
172793,vivere+2007,4
170972,the+falcon+and+the+snowman+1985,3
327662,al+capone+1959,3
157101,the+count+of+monte+cristo+2002,5
38908,time+out+2001,4
165632,the+matrix+1999,4
49563,american+history+x+1998,4
228487,the+hobbit+the+battle+of+the+five+armies+2014,3
316419,a+grand+day+out+1990,4
305539,trust+2010,4
174792,the+bridesmaid+2004,3
275686,breezy+1973,2
178014,let+my+puppets+come+1976,3
100833,mariage++mendoza+2013,3
315507,grandmas+boy+1922,3
165269,a+time+for+drunken+horses+2000,4
138009,freejack+1992,3
333467,my+life+as+a+dog+1985,4
80081,king+cobra+1999,5
83134,the+road+to+el+dorado+2000,3
105522,heart+like+a+wheel+1983,3
94947,floating+clouds+1955,4
174864,fearless+2006,5
91785,nightcrawler+2014,4
190848,batman+begins+2005,4
274017,abraham+lincoln+1930,4
247996,together+2000,4
231511,about+schmidt+2002,3
240635,seventh+son+2014,4
209161,mulan+1998,3
185831,in+a+dark+place+2006,4
205600,girl+crazy+1943,3
288547,at+middleton+2013,3
98212,the+las+vegas+story+1952,4
263679,spider-man+3+2007,4
39779,one+man+band+2005,4
44113,apollo+13+1995,5
165535,a+thousand+cuts+2012,4
266256,chicken+run+2000,3
47949,habit+1996,5
253045,my+man+godfrey+1957,4
70522,the+wonderful_+horrible+life+of+leni+riefenstahl+1993,5
121722,fat+man+and+little+boy+1989,3
304239,princess+mononoke+1997,4
174022,ong-bak+the+thai+warrior+2003,3
246497,soft+toilet+seats+1999,2
329548,day++night+2010,4
139222,fight+club+1999,5
17938,real+men+1987,3
127369,all+the+presidents+men+1976,5
306281,admiral+yamamoto+1968,3
200145,born+in+east+l.a.+1987,3
92954,despicable+me+2+2013,4
167216,william+kunstler+disturbing+the+universe+2009,3
57608,the+lord+of+the+rings+the+two+towers+2002,5
208774,thank+you_+mr.+moto+1937,3
209315,the+fifth+estate+2013,3
116865,familiar+ground+2011,2
93112,gloria+1980,3
128387,arthur+christmas+2011,4
291587,love+likes+coincidences+2011,4
170280,the+new+girlfriend+2014,4
117564,dr.+who+and+the+daleks+1965,3
25315,palme+2012,3
14607,bambi+1942,5
81907,se7en+1995,4
97821,eila_+rampe+ja+likka+2014,4
56502,the+princess+and+the+frog+2009,3
261418,frozen+2013,5
151175,fight+club+1999,4
232569,winchester+73+1950,4
74341,broken+blossoms+1919,4
5978,journey+to+italy+1954,4
320168,ghostbusters+1984,4
136006,the+imitation+game+2014,4
39839,the+man+in+the+orange+jacket+2015,5
159984,harry+potter+and+the+chamber+of+secrets+2002,4
17512,the+hobbit+the+desolation+of+smaug+2013,4
143676,anchors+aweigh+1945,4
131964,the+cabinet+of+dr.+caligari+1920,4
108632,inception+2010,5
273286,perfect+sisters+2014,4
189570,the+idiot+1951,3
62715,repo+man+1984,4
117180,next+2007,3
147671,liberal+arts+2012,3
182231,fifty+dead+men+walking+2008,4
259076,pulp+fiction+1994,4
50186,particle+fever+2013,4
281633,newsies+1992,2
44102,august+2011,4
299400,i+am+david+2003,3
251220,confessions+from+a+holiday+camp+1977,4
315926,we+own+the+night+2007,3
164519,snowpiercer+2013,2
239643,leon+the+professional+1994,4
322339,how+to+train+your+dragon+2010,4
78736,instinct+1999,3
48582,a+passage+to+india+1984,4
168031,raiders+of+the+lost+ark+1981,4
116749,princess+mononoke+1997,4
19936,the+red+violin+1998,3
62511,presto+2008,3
175852,girl_+interrupted+1999,5
65509,ponyo+2008,4
36306,heaven+2002,3
305097,rush+hour+1998,4
250359,frownland+2007,4
117573,pippi+on+the+run+1970,3
161817,bad+medicine+1985,4
18330,heathers+1988,5
154594,the+red+and+the+white+1967,4
62986,whisper+of+the+heart+1995,4
217564,the+equalizer+2014,3
26524,american+outlaws+2001,4
88090,the+day+that+lasted+21+years+2012,3
7121,james+dean+2001,4
281454,penguins+of+madagascar+2014,3
117321,miss+granny+2014,3
215136,leon+the+professional+1994,3
184937,swing+kids+1993,3
338076,the+100+year-old+man+who+climbed+out+the+window+and+disappeared+2013,3
326995,sophie+scholl+the+final+days+2005,5
134329,whiplash+2014,5
274545,gattaca+1997,3
144732,la+belle+verte+1996,4
112193,the+terminator+1984,3
223494,wanted+2009,3
160321,transformers+2007,4
270067,raiders+of+the+lost+ark+1981,5
320976,midnight+run+1988,5
245439,the+other+family+2011,4
88832,monkey+business+1931,4
56351,doc+1971,3
